Timestamp: 1683525958, Average of speed: 2150.667, Average of pressure: 0.068
Timestamp: 1683535088, Average of speed: 2298.333, Average of pressure: 0.076
Timestamp: 1683535089, Average of speed: 1945.000, Average of pressure: 0.084
Timestamp: 1683535090, Average of speed: 2201.667, Average of pressure: 0.086
Timestamp: 1683535091, Average of speed: 1898.333, Average of pressure: 0.056
Timestamp: 1683535092, Average of speed: 2054.667, Average of pressure: 0.068
Timestamp: 1683535093, Average of speed: 2006.000, Average of pressure: 0.063
Timestamp: 1683535094, Average of speed: 2035.667, Average of pressure: 0.083
Timestamp: 1683535095, Average of speed: 2266.667, Average of pressure: 0.075
Timestamp: 1683535096, Average of speed: 2087.333, Average of pressure: 0.076
Timestamp: 1683535097, Average of speed: 2190.333, Average of pressure: 0.061
Timestamp: 1683535098, Average of speed: 2139.333, Average of pressure: 0.091
Timestamp: 1683535099, Average of speed: 2041.333, Average of pressure: 0.057
Timestamp: 1683535100, Average of speed: 2026.000, Average of pressure: 0.071
Timestamp: 1683535101, Average of speed: 2173.000, Average of pressure: 0.056
Timestamp: 1683535102, Average of speed: 2158.667, Average of pressure: 0.072
Timestamp: 1683535103, Average of speed: 2016.667, Average of pressure: 0.093
Timestamp: 1683535104, Average of speed: 2004.667, Average of pressure: 0.088
Timestamp: 1683535105, Average of speed: 2147.000, Average of pressure: 0.072
Timestamp: 1683535106, Average of speed: 1926.667, Average of pressure: 0.069
Timestamp: 1683535107, Average of speed: 2143.333, Average of pressure: 0.087
Timestamp: 1683535108, Average of speed: 2238.667, Average of pressure: 0.097
Timestamp: 1683535109, Average of speed: 2238.667, Average of pressure: 0.097
Timestamp: 1683535110, Average of speed: 2238.667, Average of pressure: 0.097
Timestamp: 1683535111, Average of speed: 2075.333, Average of pressure: 0.074
Timestamp: 1683535112, Average of speed: 2233.667, Average of pressure: 0.068
Timestamp: 1683535113, Average of speed: 2053.667, Average of pressure: 0.087
Timestamp: 1683535114, Average of speed: 2122.000, Average of pressure: 0.078
Timestamp: 1683535115, Average of speed: 1939.333, Average of pressure: 0.083
Timestamp: 1683535116, Average of speed: 2013.667, Average of pressure: 0.077
Timestamp: 1683535117, Average of speed: 1979.333, Average of pressure: 0.056
Timestamp: 1683535118, Average of speed: 2152.333, Average of pressure: 0.056
Timestamp: 1683535119, Average of speed: 2057.000, Average of pressure: 0.070
Timestamp: 1683535120, Average of speed: 2043.000, Average of pressure: 0.056
Timestamp: 1683535121, Average of speed: 2043.000, Average of pressure: 0.056
Timestamp: 1683535122, Average of speed: 2025.000, Average of pressure: 0.084
Timestamp: 1683535123, Average of speed: 2111.667, Average of pressure: 0.080
Timestamp: 1683535124, Average of speed: 2113.000, Average of pressure: 0.076
Timestamp: 1683535125, Average of speed: 2142.667, Average of pressure: 0.072
Timestamp: 1683535126, Average of speed: 2266.667, Average of pressure: 0.058
Timestamp: 1683535127, Average of speed: 1963.000, Average of pressure: 0.082
Timestamp: 1683535128, Average of speed: 2222.333, Average of pressure: 0.053
Timestamp: 1683535129, Average of speed: 2040.667, Average of pressure: 0.082
Timestamp: 1683535130, Average of speed: 2357.333, Average of pressure: 0.059
Timestamp: 1683535131, Average of speed: 2136.667, Average of pressure: 0.069
Timestamp: 1683535132, Average of speed: 2170.333, Average of pressure: 0.085
Timestamp: 1683535133, Average of speed: 2327.667, Average of pressure: 0.082
Timestamp: 1683535134, Average of speed: 1995.333, Average of pressure: 0.082
Timestamp: 1683535135, Average of speed: 1926.667, Average of pressure: 0.062
Timestamp: 1683535136, Average of speed: 2140.000, Average of pressure: 0.087
Timestamp: 1683535137, Average of speed: 2149.000, Average of pressure: 0.076
Timestamp: 1683535138, Average of speed: 2109.667, Average of pressure: 0.082
Timestamp: 1683535139, Average of speed: 1965.000, Average of pressure: 0.057
Timestamp: 1683535140, Average of speed: 1977.333, Average of pressure: 0.083
Timestamp: 1683535141, Average of speed: 2126.667, Average of pressure: 0.064
Timestamp: 1683535142, Average of speed: 2092.333, Average of pressure: 0.080
Timestamp: 1683535143, Average of speed: 1963.000, Average of pressure: 0.075
Timestamp: 1683535144, Average of speed: 1879.000, Average of pressure: 0.058
Timestamp: 1683535145, Average of speed: 2059.667, Average of pressure: 0.076
Timestamp: 1683535146, Average of speed: 1967.333, Average of pressure: 0.069
Timestamp: 1683535147, Average of speed: 2079.000, Average of pressure: 0.076
Timestamp: 1683535148, Average of speed: 1925.000, Average of pressure: 0.064
Timestamp: 1683535149, Average of speed: 2169.667, Average of pressure: 0.086
Timestamp: 1683535150, Average of speed: 2169.667, Average of pressure: 0.086
Timestamp: 1683535151, Average of speed: 2212.333, Average of pressure: 0.062
Timestamp: 1683535152, Average of speed: 2106.000, Average of pressure: 0.071
Timestamp: 1683535153, Average of speed: 2174.333, Average of pressure: 0.068
Timestamp: 1683535154, Average of speed: 2247.333, Average of pressure: 0.065
Timestamp: 1683535155, Average of speed: 2062.667, Average of pressure: 0.079
Timestamp: 1683535156, Average of speed: 2058.333, Average of pressure: 0.058
Timestamp: 1683535157, Average of speed: 2114.000, Average of pressure: 0.072
Timestamp: 1683535158, Average of speed: 2056.000, Average of pressure: 0.073
Timestamp: 1683535159, Average of speed: 2063.667, Average of pressure: 0.084
Timestamp: 1683535160, Average of speed: 2122.333, Average of pressure: 0.076
Timestamp: 1683535161, Average of speed: 2007.333, Average of pressure: 0.068
Timestamp: 1683535162, Average of speed: 2194.333, Average of pressure: 0.059
Timestamp: 1683535163, Average of speed: 2190.667, Average of pressure: 0.071
Timestamp: 1683535164, Average of speed: 2135.000, Average of pressure: 0.084
Timestamp: 1683535165, Average of speed: 2231.667, Average of pressure: 0.069
Timestamp: 1683535166, Average of speed: 2202.333, Average of pressure: 0.064
Timestamp: 1683535167, Average of speed: 2149.667, Average of pressure: 0.072
Timestamp: 1683535168, Average of speed: 1954.333, Average of pressure: 0.080
Timestamp: 1683535169, Average of speed: 2147.333, Average of pressure: 0.054
Timestamp: 1683535170, Average of speed: 2065.000, Average of pressure: 0.091
Timestamp: 1683535171, Average of speed: 2055.667, Average of pressure: 0.065
Timestamp: 1683535172, Average of speed: 2104.333, Average of pressure: 0.083
Timestamp: 1683535173, Average of speed: 2086.333, Average of pressure: 0.064
Timestamp: 1683535174, Average of speed: 2251.333, Average of pressure: 0.073
Timestamp: 1683535175, Average of speed: 2094.000, Average of pressure: 0.084
Timestamp: 1683535176, Average of speed: 2035.333, Average of pressure: 0.082
Timestamp: 1683535177, Average of speed: 2283.667, Average of pressure: 0.079
Timestamp: 1683535178, Average of speed: 2058.333, Average of pressure: 0.078
Timestamp: 1683535179, Average of speed: 2297.667, Average of pressure: 0.068
Timestamp: 1683535180, Average of speed: 1994.667, Average of pressure: 0.094
Timestamp: 1683535181, Average of speed: 2198.333, Average of pressure: 0.065
Timestamp: 1683535182, Average of speed: 1916.000, Average of pressure: 0.075
Timestamp: 1683535183, Average of speed: 2015.667, Average of pressure: 0.078
Timestamp: 1683535184, Average of speed: 2175.000, Average of pressure: 0.078
Timestamp: 1683535185, Average of speed: 2247.667, Average of pressure: 0.080
Timestamp: 1683535186, Average of speed: 2039.000, Average of pressure: 0.072
Timestamp: 1683535187, Average of speed: 2108.667, Average of pressure: 0.086
Timestamp: 1683535188, Average of speed: 2070.667, Average of pressure: 0.080
Timestamp: 1683535189, Average of speed: 2229.667, Average of pressure: 0.089
Timestamp: 1683535190, Average of speed: 2098.667, Average of pressure: 0.073
Timestamp: 1683535191, Average of speed: 2303.667, Average of pressure: 0.075
Timestamp: 1683535192, Average of speed: 2022.333, Average of pressure: 0.080
Timestamp: 1683535193, Average of speed: 2078.000, Average of pressure: 0.076
Timestamp: 1683535194, Average of speed: 2034.000, Average of pressure: 0.060
Timestamp: 1683535195, Average of speed: 2119.333, Average of pressure: 0.064
Timestamp: 1683535196, Average of speed: 2185.333, Average of pressure: 0.065
Timestamp: 1683535197, Average of speed: 2131.667, Average of pressure: 0.070
Timestamp: 1683535198, Average of speed: 2081.667, Average of pressure: 0.069
Timestamp: 1683535199, Average of speed: 2280.667, Average of pressure: 0.072
Timestamp: 1683535200, Average of speed: 2279.333, Average of pressure: 0.091
Timestamp: 1683535201, Average of speed: 1992.000, Average of pressure: 0.072
Timestamp: 1683535202, Average of speed: 1992.000, Average of pressure: 0.072
Timestamp: 1683535203, Average of speed: 2111.667, Average of pressure: 0.086
Timestamp: 1683535204, Average of speed: 2122.333, Average of pressure: 0.080
Timestamp: 1683535205, Average of speed: 2025.333, Average of pressure: 0.070
Timestamp: 1683535206, Average of speed: 2066.000, Average of pressure: 0.091
Timestamp: 1683535207, Average of speed: 2281.000, Average of pressure: 0.078
Timestamp: 1683535208, Average of speed: 1920.333, Average of pressure: 0.078
Timestamp: 1683535209, Average of speed: 2121.333, Average of pressure: 0.074
Timestamp: 1683535210, Average of speed: 2039.000, Average of pressure: 0.079
Timestamp: 1683535211, Average of speed: 2002.667, Average of pressure: 0.074
Timestamp: 1683535212, Average of speed: 2037.667, Average of pressure: 0.078
Timestamp: 1683535213, Average of speed: 2300.667, Average of pressure: 0.082
Timestamp: 1683535214, Average of speed: 1973.333, Average of pressure: 0.078
Timestamp: 1683535215, Average of speed: 2042.000, Average of pressure: 0.052
Timestamp: 1683535216, Average of speed: 2088.000, Average of pressure: 0.090
Timestamp: 1683535217, Average of speed: 2066.333, Average of pressure: 0.090
Timestamp: 1683535218, Average of speed: 1943.000, Average of pressure: 0.074
Timestamp: 1683535219, Average of speed: 2079.667, Average of pressure: 0.068
Timestamp: 1683535220, Average of speed: 2046.333, Average of pressure: 0.071
Timestamp: 1683535221, Average of speed: 2018.000, Average of pressure: 0.072
Timestamp: 1683535222, Average of speed: 1982.333, Average of pressure: 0.089
Timestamp: 1683535223, Average of speed: 2121.667, Average of pressure: 0.064
Timestamp: 1683535224, Average of speed: 1950.333, Average of pressure: 0.079
Timestamp: 1683535225, Average of speed: 2301.667, Average of pressure: 0.081
Timestamp: 1683535226, Average of speed: 2006.000, Average of pressure: 0.093
Timestamp: 1683535227, Average of speed: 2024.333, Average of pressure: 0.090
Timestamp: 1683535228, Average of speed: 2105.667, Average of pressure: 0.095
Timestamp: 1683535229, Average of speed: 2043.667, Average of pressure: 0.064
Timestamp: 1683535230, Average of speed: 2079.333, Average of pressure: 0.080
Timestamp: 1683535231, Average of speed: 2275.667, Average of pressure: 0.069
Timestamp: 1683535232, Average of speed: 2084.000, Average of pressure: 0.073
Timestamp: 1683535233, Average of speed: 1998.000, Average of pressure: 0.082
Timestamp: 1683535234, Average of speed: 2019.667, Average of pressure: 0.067
Timestamp: 1683535235, Average of speed: 2064.000, Average of pressure: 0.078
Timestamp: 1683535236, Average of speed: 2156.667, Average of pressure: 0.068
Timestamp: 1683535237, Average of speed: 2149.333, Average of pressure: 0.061
Timestamp: 1683535238, Average of speed: 2166.333, Average of pressure: 0.075
Timestamp: 1683535239, Average of speed: 1922.333, Average of pressure: 0.061
Timestamp: 1683535240, Average of speed: 1956.000, Average of pressure: 0.081
Timestamp: 1683535241, Average of speed: 2115.333, Average of pressure: 0.087
Timestamp: 1683535242, Average of speed: 2140.667, Average of pressure: 0.078
Timestamp: 1683535243, Average of speed: 2034.667, Average of pressure: 0.094
Timestamp: 1683535244, Average of speed: 2038.667, Average of pressure: 0.063
Timestamp: 1683535245, Average of speed: 2012.333, Average of pressure: 0.093
Timestamp: 1683535246, Average of speed: 1998.333, Average of pressure: 0.082
Timestamp: 1683535247, Average of speed: 2153.333, Average of pressure: 0.078
Timestamp: 1683535248, Average of speed: 2141.000, Average of pressure: 0.063
Timestamp: 1683535249, Average of speed: 2160.000, Average of pressure: 0.064
Timestamp: 1683535250, Average of speed: 2212.667, Average of pressure: 0.079
Timestamp: 1683535251, Average of speed: 2141.000, Average of pressure: 0.068
Timestamp: 1683535252, Average of speed: 1995.000, Average of pressure: 0.078
Timestamp: 1683535253, Average of speed: 2264.667, Average of pressure: 0.083
Timestamp: 1683535254, Average of speed: 2108.333, Average of pressure: 0.062
Timestamp: 1683535255, Average of speed: 2194.667, Average of pressure: 0.054
Timestamp: 1683535256, Average of speed: 2213.667, Average of pressure: 0.087
Timestamp: 1683535257, Average of speed: 2253.667, Average of pressure: 0.075
Timestamp: 1683535258, Average of speed: 2134.333, Average of pressure: 0.087
Timestamp: 1683535259, Average of speed: 2016.333, Average of pressure: 0.078
Timestamp: 1683535260, Average of speed: 2016.333, Average of pressure: 0.078
Timestamp: 1683535261, Average of speed: 2202.000, Average of pressure: 0.075
Timestamp: 1683535262, Average of speed: 2183.333, Average of pressure: 0.076
Timestamp: 1683535263, Average of speed: 2073.333, Average of pressure: 0.083
Timestamp: 1683535264, Average of speed: 2164.000, Average of pressure: 0.074
Timestamp: 1683535265, Average of speed: 2301.333, Average of pressure: 0.065
Timestamp: 1683535266, Average of speed: 2064.333, Average of pressure: 0.076
Timestamp: 1683535267, Average of speed: 2182.000, Average of pressure: 0.054
Timestamp: 1683535268, Average of speed: 2133.667, Average of pressure: 0.091
Timestamp: 1683535269, Average of speed: 1961.000, Average of pressure: 0.081
Timestamp: 1683535270, Average of speed: 2063.667, Average of pressure: 0.081
Timestamp: 1683535271, Average of speed: 2123.667, Average of pressure: 0.083
Timestamp: 1683535272, Average of speed: 2142.000, Average of pressure: 0.093
Timestamp: 1683535273, Average of speed: 2042.333, Average of pressure: 0.072
Timestamp: 1683535274, Average of speed: 2042.333, Average of pressure: 0.072
Timestamp: 1683535275, Average of speed: 2123.000, Average of pressure: 0.077
Timestamp: 1683535276, Average of speed: 2197.000, Average of pressure: 0.072
Timestamp: 1683535277, Average of speed: 2159.333, Average of pressure: 0.054
Timestamp: 1683535278, Average of speed: 2229.667, Average of pressure: 0.086
Timestamp: 1683535279, Average of speed: 2202.000, Average of pressure: 0.090
Timestamp: 1683535280, Average of speed: 2045.000, Average of pressure: 0.082
Timestamp: 1683535281, Average of speed: 2162.667, Average of pressure: 0.065
Timestamp: 1683535282, Average of speed: 2119.667, Average of pressure: 0.081
Timestamp: 1683535283, Average of speed: 1968.000, Average of pressure: 0.090
Timestamp: 1683535284, Average of speed: 2175.333, Average of pressure: 0.072
Timestamp: 1683535285, Average of speed: 2311.000, Average of pressure: 0.072
Timestamp: 1683535286, Average of speed: 2108.667, Average of pressure: 0.057
Timestamp: 1683535287, Average of speed: 2110.667, Average of pressure: 0.085
Timestamp: 1683535288, Average of speed: 2033.667, Average of pressure: 0.088
Timestamp: 1683535289, Average of speed: 2029.000, Average of pressure: 0.060
Timestamp: 1683535290, Average of speed: 2062.000, Average of pressure: 0.093
Timestamp: 1683535291, Average of speed: 2150.667, Average of pressure: 0.056
Timestamp: 1683535292, Average of speed: 2180.000, Average of pressure: 0.074
Timestamp: 1683535293, Average of speed: 1938.667, Average of pressure: 0.053
Timestamp: 1683535294, Average of speed: 1979.667, Average of pressure: 0.079
Timestamp: 1683535295, Average of speed: 2215.000, Average of pressure: 0.076
Timestamp: 1683535296, Average of speed: 2268.000, Average of pressure: 0.065
Timestamp: 1683535297, Average of speed: 2062.000, Average of pressure: 0.069
Timestamp: 1683535298, Average of speed: 2029.000, Average of pressure: 0.067
Timestamp: 1683535299, Average of speed: 1902.333, Average of pressure: 0.086
Timestamp: 1683535300, Average of speed: 2288.000, Average of pressure: 0.079
Timestamp: 1683535301, Average of speed: 2074.667, Average of pressure: 0.064
Timestamp: 1683535302, Average of speed: 2010.667, Average of pressure: 0.071
Timestamp: 1683535303, Average of speed: 2010.667, Average of pressure: 0.071
Timestamp: 1683535304, Average of speed: 2051.667, Average of pressure: 0.073
Timestamp: 1683535305, Average of speed: 2114.667, Average of pressure: 0.082
Timestamp: 1683535306, Average of speed: 2174.333, Average of pressure: 0.079
Timestamp: 1683535307, Average of speed: 2205.667, Average of pressure: 0.076
Timestamp: 1683535308, Average of speed: 2133.667, Average of pressure: 0.070
Timestamp: 1683535309, Average of speed: 2006.667, Average of pressure: 0.075
Timestamp: 1683535310, Average of speed: 2040.667, Average of pressure: 0.069
Timestamp: 1683535311, Average of speed: 1890.667, Average of pressure: 0.086
Timestamp: 1683535312, Average of speed: 2034.000, Average of pressure: 0.070
Timestamp: 1683535313, Average of speed: 2127.333, Average of pressure: 0.062
Timestamp: 1683535314, Average of speed: 2223.667, Average of pressure: 0.073
Timestamp: 1683535315, Average of speed: 2072.333, Average of pressure: 0.092
Timestamp: 1683535316, Average of speed: 2298.667, Average of pressure: 0.072
Timestamp: 1683535317, Average of speed: 2026.000, Average of pressure: 0.068
Timestamp: 1683535318, Average of speed: 2026.000, Average of pressure: 0.068
Timestamp: 1683535319, Average of speed: 2026.000, Average of pressure: 0.068
Timestamp: 1683535320, Average of speed: 2187.333, Average of pressure: 0.073
Timestamp: 1683535321, Average of speed: 2122.333, Average of pressure: 0.071
Timestamp: 1683535322, Average of speed: 2089.333, Average of pressure: 0.071
Timestamp: 1683535323, Average of speed: 2086.667, Average of pressure: 0.072
Timestamp: 1683535324, Average of speed: 1986.000, Average of pressure: 0.090
Timestamp: 1683535325, Average of speed: 2333.000, Average of pressure: 0.098
Timestamp: 1683535326, Average of speed: 2140.333, Average of pressure: 0.080
Timestamp: 1683535327, Average of speed: 1981.333, Average of pressure: 0.071
Timestamp: 1683535328, Average of speed: 2048.667, Average of pressure: 0.068
Timestamp: 1683535329, Average of speed: 2272.000, Average of pressure: 0.087
Timestamp: 1683535330, Average of speed: 2003.667, Average of pressure: 0.065
Timestamp: 1683535331, Average of speed: 1933.000, Average of pressure: 0.064
Timestamp: 1683535332, Average of speed: 2053.333, Average of pressure: 0.075
Timestamp: 1683535333, Average of speed: 2048.667, Average of pressure: 0.087
Timestamp: 1683535334, Average of speed: 2080.333, Average of pressure: 0.063
Timestamp: 1683535335, Average of speed: 2151.000, Average of pressure: 0.074
Timestamp: 1683535336, Average of speed: 2078.667, Average of pressure: 0.082
Timestamp: 1683535337, Average of speed: 2130.000, Average of pressure: 0.080
Timestamp: 1683535338, Average of speed: 2032.333, Average of pressure: 0.089
Timestamp: 1683535339, Average of speed: 2074.000, Average of pressure: 0.068
Timestamp: 1683535340, Average of speed: 2135.667, Average of pressure: 0.081
Timestamp: 1683535341, Average of speed: 2104.000, Average of pressure: 0.073
Timestamp: 1683535342, Average of speed: 2104.000, Average of pressure: 0.073
Timestamp: 1683535343, Average of speed: 2048.667, Average of pressure: 0.066
Timestamp: 1683535344, Average of speed: 2254.000, Average of pressure: 0.074
Timestamp: 1683535345, Average of speed: 2254.000, Average of pressure: 0.074
Timestamp: 1683535346, Average of speed: 2254.000, Average of pressure: 0.074
Timestamp: 1683535347, Average of speed: 1867.000, Average of pressure: 0.060
Timestamp: 1683535348, Average of speed: 2024.000, Average of pressure: 0.071
Timestamp: 1683535349, Average of speed: 2113.333, Average of pressure: 0.070
Timestamp: 1683535350, Average of speed: 2218.667, Average of pressure: 0.065
Timestamp: 1683535351, Average of speed: 2200.667, Average of pressure: 0.083
Timestamp: 1683535352, Average of speed: 2200.667, Average of pressure: 0.083
Timestamp: 1683535353, Average of speed: 2041.000, Average of pressure: 0.084
Timestamp: 1683535354, Average of speed: 2264.667, Average of pressure: 0.072
Timestamp: 1683535355, Average of speed: 2207.000, Average of pressure: 0.069
Timestamp: 1683535356, Average of speed: 2083.667, Average of pressure: 0.079
Timestamp: 1683535357, Average of speed: 2038.000, Average of pressure: 0.071
Timestamp: 1683535358, Average of speed: 2038.000, Average of pressure: 0.071
Timestamp: 1683535359, Average of speed: 2121.333, Average of pressure: 0.069
Timestamp: 1683535360, Average of speed: 2093.333, Average of pressure: 0.073
Timestamp: 1683535361, Average of speed: 2135.333, Average of pressure: 0.056
Timestamp: 1683535362, Average of speed: 2101.333, Average of pressure: 0.058
Timestamp: 1683535363, Average of speed: 2079.000, Average of pressure: 0.062
Timestamp: 1683535364, Average of speed: 2115.333, Average of pressure: 0.075
Timestamp: 1683535365, Average of speed: 2115.333, Average of pressure: 0.075
Timestamp: 1683535366, Average of speed: 1967.667, Average of pressure: 0.066
Timestamp: 1683535367, Average of speed: 2068.000, Average of pressure: 0.079
Timestamp: 1683535368, Average of speed: 2068.000, Average of pressure: 0.079
Timestamp: 1683535369, Average of speed: 2187.000, Average of pressure: 0.065
Timestamp: 1683535370, Average of speed: 1961.333, Average of pressure: 0.087
Timestamp: 1683535371, Average of speed: 2113.667, Average of pressure: 0.079
Timestamp: 1683535372, Average of speed: 2120.667, Average of pressure: 0.089
Timestamp: 1683535373, Average of speed: 2121.667, Average of pressure: 0.081
Timestamp: 1683535374, Average of speed: 2325.667, Average of pressure: 0.071
Timestamp: 1683535375, Average of speed: 2297.000, Average of pressure: 0.075
Timestamp: 1683535376, Average of speed: 1954.667, Average of pressure: 0.071
Timestamp: 1683535377, Average of speed: 2126.000, Average of pressure: 0.075
Timestamp: 1683535378, Average of speed: 2076.000, Average of pressure: 0.073
Timestamp: 1683535379, Average of speed: 1995.333, Average of pressure: 0.085
Timestamp: 1683535380, Average of speed: 1946.000, Average of pressure: 0.066
Timestamp: 1683535381, Average of speed: 2179.000, Average of pressure: 0.092
Timestamp: 1683535382, Average of speed: 2130.333, Average of pressure: 0.060
Timestamp: 1683535383, Average of speed: 2164.333, Average of pressure: 0.086
Timestamp: 1683535384, Average of speed: 2164.333, Average of pressure: 0.086
Timestamp: 1683535385, Average of speed: 2133.333, Average of pressure: 0.075
Timestamp: 1683535386, Average of speed: 2340.000, Average of pressure: 0.068
Timestamp: 1683535387, Average of speed: 2129.000, Average of pressure: 0.087
Timestamp: 1683535388, Average of speed: 2233.667, Average of pressure: 0.062
Timestamp: 1683535389, Average of speed: 2169.333, Average of pressure: 0.075
Timestamp: 1683535390, Average of speed: 1981.667, Average of pressure: 0.068
Timestamp: 1683535391, Average of speed: 1968.000, Average of pressure: 0.060
Timestamp: 1683535392, Average of speed: 2085.333, Average of pressure: 0.058
Timestamp: 1683535393, Average of speed: 2092.333, Average of pressure: 0.073
Timestamp: 1683535394, Average of speed: 2032.667, Average of pressure: 0.084
Timestamp: 1683535395, Average of speed: 2096.667, Average of pressure: 0.087
Timestamp: 1683535396, Average of speed: 2053.667, Average of pressure: 0.084
Timestamp: 1683535397, Average of speed: 2114.333, Average of pressure: 0.060
Timestamp: 1683535398, Average of speed: 2092.000, Average of pressure: 0.056
Timestamp: 1683535399, Average of speed: 2094.333, Average of pressure: 0.076
Timestamp: 1683535400, Average of speed: 2117.000, Average of pressure: 0.066
Timestamp: 1683535401, Average of speed: 2128.000, Average of pressure: 0.073
Timestamp: 1683535402, Average of speed: 2044.667, Average of pressure: 0.074
Timestamp: 1683535403, Average of speed: 2117.000, Average of pressure: 0.080
Timestamp: 1683535404, Average of speed: 2152.333, Average of pressure: 0.055
Timestamp: 1683535405, Average of speed: 2233.667, Average of pressure: 0.079
Timestamp: 1683535406, Average of speed: 2102.000, Average of pressure: 0.075
Timestamp: 1683535407, Average of speed: 2026.000, Average of pressure: 0.094
Timestamp: 1683535408, Average of speed: 2101.000, Average of pressure: 0.070
Timestamp: 1683535409, Average of speed: 2090.333, Average of pressure: 0.090
Timestamp: 1683535410, Average of speed: 2281.333, Average of pressure: 0.075
Timestamp: 1683535411, Average of speed: 2227.667, Average of pressure: 0.072
Timestamp: 1683535412, Average of speed: 2303.333, Average of pressure: 0.087
Timestamp: 1683535413, Average of speed: 2037.000, Average of pressure: 0.071
Timestamp: 1683535414, Average of speed: 1872.667, Average of pressure: 0.054
Timestamp: 1683535415, Average of speed: 2151.000, Average of pressure: 0.063
Timestamp: 1683535416, Average of speed: 2085.000, Average of pressure: 0.087
Timestamp: 1683535417, Average of speed: 2253.333, Average of pressure: 0.077
Timestamp: 1683535418, Average of speed: 2185.333, Average of pressure: 0.075
Timestamp: 1683535419, Average of speed: 2279.000, Average of pressure: 0.062
Timestamp: 1683535420, Average of speed: 2063.000, Average of pressure: 0.087
Timestamp: 1683535421, Average of speed: 1947.333, Average of pressure: 0.093
Timestamp: 1683535422, Average of speed: 2171.667, Average of pressure: 0.083
Timestamp: 1683535423, Average of speed: 1901.333, Average of pressure: 0.075
Timestamp: 1683535424, Average of speed: 2228.667, Average of pressure: 0.065
Timestamp: 1683535425, Average of speed: 2115.667, Average of pressure: 0.080
Timestamp: 1683535426, Average of speed: 2025.667, Average of pressure: 0.075
Timestamp: 1683535427, Average of speed: 2239.667, Average of pressure: 0.079
Timestamp: 1683535428, Average of speed: 1949.000, Average of pressure: 0.081
Timestamp: 1683535429, Average of speed: 2068.667, Average of pressure: 0.078
Timestamp: 1683535430, Average of speed: 1925.667, Average of pressure: 0.068
Timestamp: 1683535431, Average of speed: 2145.000, Average of pressure: 0.072
Timestamp: 1683535432, Average of speed: 2195.667, Average of pressure: 0.094
Timestamp: 1683535433, Average of speed: 2195.667, Average of pressure: 0.094
Timestamp: 1683535434, Average of speed: 2179.000, Average of pressure: 0.083
Timestamp: 1683535435, Average of speed: 2290.000, Average of pressure: 0.078
Timestamp: 1683535436, Average of speed: 2155.667, Average of pressure: 0.074
Timestamp: 1683535437, Average of speed: 2211.000, Average of pressure: 0.068
Timestamp: 1683535438, Average of speed: 2211.000, Average of pressure: 0.068
Timestamp: 1683535439, Average of speed: 2032.000, Average of pressure: 0.079
Timestamp: 1683535440, Average of speed: 2020.333, Average of pressure: 0.067
Timestamp: 1683535441, Average of speed: 2243.667, Average of pressure: 0.087
Timestamp: 1683535442, Average of speed: 2235.333, Average of pressure: 0.062
Timestamp: 1683535443, Average of speed: 2235.333, Average of pressure: 0.062
Timestamp: 1683535444, Average of speed: 2162.333, Average of pressure: 0.082
Timestamp: 1683535445, Average of speed: 1988.667, Average of pressure: 0.075
Timestamp: 1683535446, Average of speed: 2057.000, Average of pressure: 0.091
Timestamp: 1683535447, Average of speed: 2028.333, Average of pressure: 0.079
Timestamp: 1683535448, Average of speed: 2117.000, Average of pressure: 0.086
Timestamp: 1683535449, Average of speed: 2157.333, Average of pressure: 0.076
Timestamp: 1683535450, Average of speed: 1903.333, Average of pressure: 0.073
Timestamp: 1683535451, Average of speed: 2036.667, Average of pressure: 0.077
Timestamp: 1683535452, Average of speed: 2160.000, Average of pressure: 0.095
Timestamp: 1683535453, Average of speed: 2077.667, Average of pressure: 0.076
Timestamp: 1683535454, Average of speed: 2064.000, Average of pressure: 0.064
Timestamp: 1683535455, Average of speed: 1998.333, Average of pressure: 0.070
Timestamp: 1683535456, Average of speed: 2061.000, Average of pressure: 0.076
Timestamp: 1683535457, Average of speed: 2061.000, Average of pressure: 0.076
Timestamp: 1683535458, Average of speed: 2092.000, Average of pressure: 0.081
Timestamp: 1683535459, Average of speed: 1977.667, Average of pressure: 0.079
Timestamp: 1683535460, Average of speed: 1977.667, Average of pressure: 0.079
Timestamp: 1683535461, Average of speed: 2128.667, Average of pressure: 0.081
Timestamp: 1683535462, Average of speed: 2124.333, Average of pressure: 0.082
Timestamp: 1683535463, Average of speed: 2070.000, Average of pressure: 0.090
Timestamp: 1683535464, Average of speed: 2207.333, Average of pressure: 0.058
Timestamp: 1683535465, Average of speed: 2076.667, Average of pressure: 0.064
Timestamp: 1683535466, Average of speed: 2227.333, Average of pressure: 0.092
Timestamp: 1683535467, Average of speed: 2078.333, Average of pressure: 0.062
Timestamp: 1683535468, Average of speed: 1973.000, Average of pressure: 0.058
Timestamp: 1683535469, Average of speed: 2102.667, Average of pressure: 0.066
Timestamp: 1683535470, Average of speed: 2267.667, Average of pressure: 0.089
Timestamp: 1683535471, Average of speed: 2086.667, Average of pressure: 0.077
Timestamp: 1683535472, Average of speed: 2043.667, Average of pressure: 0.071
Timestamp: 1683535473, Average of speed: 1958.667, Average of pressure: 0.068
Timestamp: 1683535474, Average of speed: 2067.000, Average of pressure: 0.098
